user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
daEOPqvX,1401580800000,3,98,596,270
daEOPqvX,1401667200000,3,101,596,270
daEOPqvX,1401753600000,3,103,596,270
daEOPqvX,1401840000000,3,106,596,270
daEOPqvX,1401926400000,3,106,596,270
daEOPqvX,1402012800000,3,101,596,270
daEOPqvX,1402099200000,3,100,596,270
daEOPqvX,1402185600000,3,104,596,270
daEOPqvX,1402272000000,3,107,596,270
daEOPqvX,1402358400000,3,106,596,270
daEOPqvX,1402444800000,3,106,596,270
daEOPqvX,1402531200000,3,101,596,270
daEOPqvX,1402617600000,3,102,596,270
daEOPqvX,1402704000000,3,100,596,270
daEOPqvX,1402790400000,3,97,596,270
daEOPqvX,1402876800000,3,94,596,270
daEOPqvX,1402963200000,3,96,596,270
daEOPqvX,1403049600000,3,91,596,270
daEOPqvX,1403136000000,3,86,596,270
daEOPqvX,1403222400000,3,89,596,270
daEOPqvX,1403308800000,3,91,596,270
daEOPqvX,1403395200000,3,93,596,270
daEOPqvX,1403481600000,3,95,596,270
daEOPqvX,1403568000000,3,97,596,270
daEOPqvX,1403654400000,3,95,596,270
daEOPqvX,1403740800000,3,94,596,270
daEOPqvX,1403827200000,3,97,596,270
daEOPqvX,1403913600000,3,99,596,270
daEOPqvX,1404000000000,3,96,596,270
daEOPqvX,1404086400000,3,93,596,270
daEOPqvX,1404172800000,3,93,596,270
daEOPqvX,1404259200000,3,90,596,270
daEOPqvX,1404345600000,3,92,596,270
daEOPqvX,1404432000000,3,92,596,270
daEOPqvX,1404518400000,3,90,596,270
daEOPqvX,1404604800000,3,90,596,270
daEOPqvX,1404691200000,3,87,596,270
daEOPqvX,1404777600000,3,85,596,270
daEOPqvX,1404864000000,3,81,596,270
daEOPqvX,1404950400000,3,85,596,270
daEOPqvX,1405036800000,3,89,596,270
daEOPqvX,1405123200000,3,84,596,270
daEOPqvX,1405209600000,3,81,596,270
daEOPqvX,1405296000000,3,78,596,270
daEOPqvX,1405382400000,3,75,596,270
daEOPqvX,1405468800000,3,72,596,270
daEOPqvX,1405555200000,3,67,596,270
daEOPqvX,1405641600000,3,63,596,270
daEOPqvX,1405728000000,3,62,596,270
daEOPqvX,1405814400000,3,61,596,270
daEOPqvX,1405900800000,3,60,596,270
daEOPqvX,1405987200000,3,56,596,270
daEOPqvX,1406073600000,3,52,596,270
daEOPqvX,1406160000000,3,52,596,270
daEOPqvX,1406246400000,3,56,596,270
daEOPqvX,1406332800000,3,56,596,270
daEOPqvX,1406419200000,3,55,596,270
daEOPqvX,1406505600000,3,52,596,270
daEOPqvX,1406592000000,3,50,596,270
daEOPqvX,1406678400000,3,47,596,270
daEOPqvX,1406764800000,3,50,596,270
daEOPqvX,1406851200000,3,46,596,270
daEOPqvX,1406937600000,3,49,596,270
daEOPqvX,1407024000000,3,51,596,270
daEOPqvX,1407110400000,3,49,596,270
daEOPqvX,1407196800000,3,50,596,270
daEOPqvX,1407283200000,3,48,596,270
daEOPqvX,1407369600000,3,47,596,270
daEOPqvX,1407456000000,3,43,596,270
daEOPqvX,1407542400000,3,41,596,270
daEOPqvX,1407628800000,3,42,596,270
daEOPqvX,1407715200000,3,45,596,270
daEOPqvX,1407801600000,3,42,596,270
daEOPqvX,1407888000000,3,45,596,270
daEOPqvX,1407974400000,3,42,596,270
daEOPqvX,1408060800000,3,45,596,270
daEOPqvX,1408147200000,3,48,596,270
daEOPqvX,1408233600000,3,52,596,270
daEOPqvX,1408320000000,3,49,596,270
daEOPqvX,1408406400000,3,45,596,270
daEOPqvX,1408492800000,3,47,596,270
daEOPqvX,1408579200000,3,48,596,270
daEOPqvX,1408665600000,3,45,596,270
daEOPqvX,1408752000000,3,42,596,270
daEOPqvX,1408838400000,3,46,596,270
daEOPqvX,1408924800000,3,43,596,270
daEOPqvX,1409011200000,3,38,596,270
daEOPqvX,1409097600000,3,42,596,270
daEOPqvX,1409184000000,3,38,596,270
daEOPqvX,1409270400000,3,42,596,270
daEOPqvX,1409356800000,3,43,596,270
daEOPqvX,1409443200000,3,46,596,270
daEOPqvX,1409529600000,3,47,596,270
daEOPqvX,1409616000000,3,50,596,270
daEOPqvX,1409702400000,3,50,596,270
daEOPqvX,1409788800000,3,45,596,270
daEOPqvX,1409875200000,3,42,596,270
daEOPqvX,1409961600000,3,44,596,270
daEOPqvX,1410048000000,3,43,596,270
daEOPqvX,1410134400000,3,44,596,270
daEOPqvX,1410220800000,3,41,596,270
daEOPqvX,1410307200000,3,41,596,270
daEOPqvX,1410393600000,3,39,596,270
daEOPqvX,1410480000000,3,39,596,270
daEOPqvX,1410566400000,3,41,596,270
daEOPqvX,1410652800000,3,36,596,270
daEOPqvX,1410739200000,3,34,596,270
daEOPqvX,1410825600000,3,31,596,270
daEOPqvX,1410912000000,3,29,596,270
daEOPqvX,1410998400000,3,29,596,270
daEOPqvX,1411084800000,3,25,596,270
daEOPqvX,1411171200000,3,24,596,270
daEOPqvX,1411257600000,3,27,596,270
daEOPqvX,1411344000000,3,22,596,270
daEOPqvX,1411430400000,3,21,596,270
daEOPqvX,1411516800000,3,25,596,270
daEOPqvX,1411603200000,3,24,596,270
daEOPqvX,1411689600000,3,28,596,270
daEOPqvX,1411776000000,3,23,596,270
daEOPqvX,1411862400000,3,19,596,270
daEOPqvX,1411948800000,3,20,596,270
daEOPqvX,1412035200000,3,16,596,270
