user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
guGFTX4k,1396310400000,3,86,454,548
guGFTX4k,1396396800000,3,82,454,548
guGFTX4k,1396483200000,3,77,454,548
guGFTX4k,1396569600000,3,73,454,548
guGFTX4k,1396656000000,3,73,454,548
guGFTX4k,1396742400000,3,72,454,548
guGFTX4k,1396828800000,3,67,454,548
guGFTX4k,1396915200000,3,71,454,548
guGFTX4k,1397001600000,3,68,454,548
guGFTX4k,1397088000000,3,64,454,548
guGFTX4k,1397174400000,3,66,454,548
guGFTX4k,1397260800000,3,68,454,548
guGFTX4k,1397347200000,3,68,454,548
guGFTX4k,1397433600000,3,70,454,548
guGFTX4k,1397520000000,3,68,454,548
guGFTX4k,1397606400000,3,67,454,548
guGFTX4k,1397692800000,3,67,454,548
guGFTX4k,1397779200000,3,67,454,548
guGFTX4k,1397865600000,3,68,454,548
guGFTX4k,1397952000000,3,72,454,548
guGFTX4k,1398038400000,3,74,454,548
guGFTX4k,1398124800000,3,71,454,548
guGFTX4k,1398211200000,3,70,454,548
guGFTX4k,1398297600000,3,68,454,548
guGFTX4k,1398384000000,3,71,454,548
guGFTX4k,1398470400000,3,67,454,548
guGFTX4k,1398556800000,3,67,454,548
guGFTX4k,1398643200000,3,64,454,548
guGFTX4k,1398729600000,3,62,454,548
guGFTX4k,1398816000000,3,65,454,548
guGFTX4k,1398902400000,3,62,454,548
guGFTX4k,1398988800000,3,64,454,548
guGFTX4k,1399075200000,3,60,454,548
guGFTX4k,1399161600000,3,64,454,548
guGFTX4k,1399248000000,3,61,454,548
guGFTX4k,1399334400000,3,65,454,548
guGFTX4k,1399420800000,3,69,454,548
guGFTX4k,1399507200000,3,70,454,548
guGFTX4k,1399593600000,3,72,454,548
guGFTX4k,1399680000000,3,67,454,548
guGFTX4k,1399766400000,3,69,454,548
guGFTX4k,1399852800000,3,65,454,548
guGFTX4k,1399939200000,3,62,454,548
guGFTX4k,1400025600000,3,62,454,548
guGFTX4k,1400112000000,3,63,454,548
guGFTX4k,1400198400000,3,62,454,548
guGFTX4k,1400284800000,3,60,454,548
guGFTX4k,1400371200000,3,58,454,548
guGFTX4k,1400457600000,3,57,454,548
guGFTX4k,1400544000000,3,54,454,548
guGFTX4k,1400630400000,3,49,454,548
guGFTX4k,1400716800000,3,46,454,548
guGFTX4k,1400803200000,3,48,454,548
guGFTX4k,1400889600000,3,44,454,548
guGFTX4k,1400976000000,3,43,454,548
guGFTX4k,1401062400000,3,41,454,548
guGFTX4k,1401148800000,3,39,454,548
guGFTX4k,1401235200000,3,37,454,548
guGFTX4k,1401321600000,3,37,454,548
guGFTX4k,1401408000000,3,32,454,548
guGFTX4k,1401494400000,3,30,454,548
guGFTX4k,1401580800000,3,32,454,548
guGFTX4k,1401667200000,3,29,454,548
guGFTX4k,1401753600000,3,29,454,548
guGFTX4k,1401840000000,3,27,454,548
guGFTX4k,1401926400000,3,27,454,548
guGFTX4k,1402012800000,3,26,454,548
guGFTX4k,1402099200000,3,30,454,548
guGFTX4k,1402185600000,3,27,454,548
guGFTX4k,1402272000000,3,30,454,548
guGFTX4k,1402358400000,3,25,454,548
guGFTX4k,1402444800000,3,29,454,548
guGFTX4k,1402531200000,3,32,454,548
guGFTX4k,1402617600000,3,29,454,548
guGFTX4k,1402704000000,3,25,454,548
guGFTX4k,1402790400000,3,20,454,548
guGFTX4k,1402876800000,3,22,454,548
guGFTX4k,1402963200000,3,23,454,548
guGFTX4k,1403049600000,3,19,454,548
guGFTX4k,1403136000000,3,14,454,548
guGFTX4k,1403222400000,3,15,454,548
guGFTX4k,1403308800000,3,17,454,548
guGFTX4k,1403395200000,3,13,454,548
guGFTX4k,1403481600000,3,9,454,548
guGFTX4k,1403568000000,3,8,454,548
guGFTX4k,1403654400000,3,3,454,548
guGFTX4k,1403740800000,3,4,454,548
guGFTX4k,1403827200000,3,5,454,548
guGFTX4k,1403913600000,3,8,454,548
guGFTX4k,1404000000000,3,10,454,548
guGFTX4k,1404086400000,3,6,454,548
