user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
7QXSd2Qx,1409529600000,7,1464,557,1830,69
7QXSd2Qx,1409616000000,7,1463,557,1855,69
7QXSd2Qx,1409702400000,7,1437,557,1828,69
7QXSd2Qx,1409788800000,7,1413,557,1804,69
7QXSd2Qx,1409875200000,7,1428,557,1810,69
7QXSd2Qx,1409961600000,7,1421,557,1834,69
7QXSd2Qx,1410048000000,7,1398,557,1836,69
7QXSd2Qx,1410134400000,7,1385,557,1852,69
7QXSd2Qx,1410220800000,7,1396,557,1822,69
7QXSd2Qx,1410307200000,7,1396,557,1851,69
7QXSd2Qx,1410393600000,7,1381,557,1869,69
7QXSd2Qx,1410480000000,7,1384,557,1897,69
7QXSd2Qx,1410566400000,7,1365,557,1876,69
7QXSd2Qx,1410652800000,7,1353,557,1893,69
7QXSd2Qx,1410739200000,7,1343,557,1919,69
7QXSd2Qx,1410825600000,7,1368,557,1943,69
7QXSd2Qx,1410912000000,7,1363,557,1950,69
7QXSd2Qx,1410998400000,7,1355,557,1966,69
7QXSd2Qx,1411084800000,7,1373,557,1986,69
7QXSd2Qx,1411171200000,7,1374,557,2011,69
7QXSd2Qx,1411257600000,7,1369,557,1998,69
7QXSd2Qx,1411344000000,7,1388,557,2015,69
7QXSd2Qx,1411430400000,7,1381,557,1988,69
7QXSd2Qx,1411516800000,7,1402,557,1971,69
7QXSd2Qx,1411603200000,7,1426,557,1980,69
7QXSd2Qx,1411689600000,7,1408,557,2002,69
7QXSd2Qx,1411776000000,7,1400,557,1984,69
7QXSd2Qx,1411862400000,7,1378,557,2007,69
7QXSd2Qx,1411948800000,7,1353,557,1981,69
7QXSd2Qx,1412035200000,7,1367,557,1957,69
7QXSd2Qx,1412121600000,7,1354,557,1957,69
7QXSd2Qx,1412208000000,7,1354,557,1959,69
7QXSd2Qx,1412294400000,7,1363,557,1980,69
7QXSd2Qx,1412380800000,7,1340,557,1981,69
7QXSd2Qx,1412467200000,7,1353,557,1990,69
7QXSd2Qx,1412553600000,7,1376,557,1977,69
7QXSd2Qx,1412640000000,7,1390,557,1965,69
7QXSd2Qx,1412726400000,7,1410,557,1974,69
7QXSd2Qx,1412812800000,7,1407,557,1992,69
7QXSd2Qx,1412899200000,7,1383,557,2004,69
7QXSd2Qx,1412985600000,7,1395,557,2007,69
7QXSd2Qx,1413072000000,7,1379,557,1982,69
7QXSd2Qx,1413158400000,7,1399,557,1966,69
7QXSd2Qx,1413244800000,7,1410,557,1942,69
7QXSd2Qx,1413331200000,7,1380,557,1922,69
7QXSd2Qx,1413417600000,7,1376,557,1915,69
7QXSd2Qx,1413504000000,7,1368,557,1916,69
7QXSd2Qx,1413590400000,7,1379,557,1902,69
7QXSd2Qx,1413676800000,7,1394,557,1874,69
7QXSd2Qx,1413763200000,7,1366,557,1865,69
7QXSd2Qx,1413849600000,7,1385,557,1860,69
7QXSd2Qx,1413936000000,7,1414,557,1870,69
7QXSd2Qx,1414022400000,7,1433,557,1857,69
7QXSd2Qx,1414108800000,7,1404,557,1872,69
7QXSd2Qx,1414195200000,7,1411,557,1856,69
7QXSd2Qx,1414281600000,7,1435,557,1871,69
7QXSd2Qx,1414368000000,7,1421,557,1869,69
7QXSd2Qx,1414454400000,7,1439,557,1877,69
7QXSd2Qx,1414540800000,7,1413,557,1861,69
7QXSd2Qx,1414627200000,7,1400,557,1864,69
7QXSd2Qx,1414713600000,7,1418,557,1872,69
7QXSd2Qx,1414800000000,7,1408,557,1870,69
7QXSd2Qx,1414886400000,7,1433,557,1842,69
7QXSd2Qx,1414972800000,7,1440,557,1819,69
7QXSd2Qx,1415059200000,7,1454,557,1834,69
7QXSd2Qx,1415145600000,7,1453,557,1827,69
7QXSd2Qx,1415232000000,7,1428,557,1842,69
7QXSd2Qx,1415318400000,7,1405,557,1821,69
7QXSd2Qx,1415404800000,7,1417,557,1823,69
7QXSd2Qx,1415491200000,7,1427,557,1809,69
7QXSd2Qx,1415577600000,7,1444,557,1822,69
7QXSd2Qx,1415664000000,7,1460,557,1841,69
7QXSd2Qx,1415750400000,7,1447,557,1868,69
7QXSd2Qx,1415836800000,7,1439,557,1890,69
7QXSd2Qx,1415923200000,7,1463,557,1884,69
7QXSd2Qx,1416009600000,7,1437,557,1892,69
7QXSd2Qx,1416096000000,7,1433,557,1899,69
7QXSd2Qx,1416182400000,7,1439,557,1907,69
7QXSd2Qx,1416268800000,7,1454,557,1916,69
7QXSd2Qx,1416355200000,7,1483,557,1928,69
7QXSd2Qx,1416441600000,7,1463,557,1956,69
7QXSd2Qx,1416528000000,7,1437,557,1933,69
7QXSd2Qx,1416614400000,7,1417,557,1917,69
7QXSd2Qx,1416700800000,7,1410,557,1912,69
7QXSd2Qx,1416787200000,7,1408,557,1921,69
7QXSd2Qx,1416873600000,7,1401,557,1912,69
7QXSd2Qx,1416960000000,7,1393,557,1897,69
7QXSd2Qx,1417046400000,7,1371,557,1903,69
7QXSd2Qx,1417132800000,7,1388,557,1918,69
7QXSd2Qx,1417219200000,7,1370,557,1892,69
7QXSd2Qx,1417305600000,7,1355,557,1868,69
