user_id,timestamp,minutes_very_active,minutes_fairly_active,steps,miles_run,minutes_lightly_active,minutes_sedentary,calories_burned,floors,distance
tSbXJkBw,1404172800000,1452,1728,1363,10,1453,1446,1495,25,1
tSbXJkBw,1404259200000,1452,1753,1375,10,1480,1466,1514,26,0
tSbXJkBw,1404345600000,1468,1768,1354,10,1481,1463,1521,22,0
tSbXJkBw,1404432000000,1456,1746,1346,10,1499,1449,1507,21,0
tSbXJkBw,1404518400000,1452,1769,1329,10,1500,1478,1502,17,0
tSbXJkBw,1404604800000,1471,1744,1355,10,1497,1482,1473,17,0
tSbXJkBw,1404691200000,1494,1742,1369,10,1469,1477,1484,19,0
tSbXJkBw,1404777600000,1501,1746,1340,10,1487,1481,1482,17,0
tSbXJkBw,1404864000000,1498,1756,1336,10,1484,1492,1510,19,0
tSbXJkBw,1404950400000,1471,1767,1347,10,1486,1470,1481,17,0
tSbXJkBw,1405036800000,1456,1757,1359,10,1493,1481,1478,21,0
tSbXJkBw,1405123200000,1443,1782,1331,10,1491,1493,1474,23,0
tSbXJkBw,1405209600000,1457,1757,1308,10,1464,1464,1479,21,0
tSbXJkBw,1405296000000,1470,1753,1324,10,1473,1448,1449,25,0
tSbXJkBw,1405382400000,1458,1752,1331,10,1465,1455,1435,27,0
tSbXJkBw,1405468800000,1447,1770,1330,10,1468,1444,1447,30,0
tSbXJkBw,1405555200000,1427,1767,1336,10,1438,1460,1448,32,0
tSbXJkBw,1405641600000,1423,1763,1347,10,1464,1458,1434,31,0
tSbXJkBw,1405728000000,1418,1758,1338,10,1472,1483,1463,33,0
tSbXJkBw,1405814400000,1430,1746,1328,10,1472,1512,1462,34,0
tSbXJkBw,1405900800000,1407,1734,1335,10,1476,1515,1446,36,0
tSbXJkBw,1405987200000,1413,1736,1325,10,1457,1538,1451,35,0
tSbXJkBw,1406073600000,1436,1723,1295,10,1453,1535,1456,39,0
tSbXJkBw,1406160000000,1449,1733,1283,10,1435,1507,1462,35,0
tSbXJkBw,1406246400000,1478,1718,1290,10,1436,1484,1491,32,0
tSbXJkBw,1406332800000,1488,1740,1289,10,1461,1474,1477,32,0
tSbXJkBw,1406419200000,1493,1757,1297,10,1457,1493,1474,28,0
tSbXJkBw,1406505600000,1476,1762,1286,10,1460,1500,1480,23,0
tSbXJkBw,1406592000000,1451,1743,1269,10,1435,1511,1472,24,0
tSbXJkBw,1406678400000,1449,1759,1241,10,1411,1538,1442,23,0
tSbXJkBw,1406764800000,1460,1778,1216,10,1390,1549,1415,25,0
tSbXJkBw,1406851200000,1458,1751,1240,10,1371,1570,1431,27,0
tSbXJkBw,1406937600000,1433,1738,1260,10,1374,1553,1411,31,0
tSbXJkBw,1407024000000,1454,1737,1244,10,1369,1529,1430,33,0
tSbXJkBw,1407110400000,1448,1725,1255,10,1374,1536,1437,36,0
tSbXJkBw,1407196800000,1449,1744,1252,10,1399,1506,1410,36,0
tSbXJkBw,1407283200000,1449,1718,1280,10,1416,1510,1425,39,0
tSbXJkBw,1407369600000,1425,1701,1258,10,1425,1532,1431,40,0
tSbXJkBw,1407456000000,1449,1727,1276,10,1417,1508,1424,40,0
tSbXJkBw,1407542400000,1438,1727,1263,10,1432,1499,1434,44,0
tSbXJkBw,1407628800000,1410,1739,1259,10,1414,1485,1460,46,0
tSbXJkBw,1407715200000,1385,1732,1287,10,1390,1489,1484,45,0
tSbXJkBw,1407801600000,1407,1739,1271,10,1417,1511,1457,45,0
tSbXJkBw,1407888000000,1382,1768,1297,10,1421,1487,1446,43,0
tSbXJkBw,1407974400000,1398,1756,1317,10,1419,1473,1429,45,0
tSbXJkBw,1408060800000,1385,1739,1314,10,1410,1444,1410,48,0
tSbXJkBw,1408147200000,1362,1767,1303,10,1426,1456,1420,47,0
tSbXJkBw,1408233600000,1362,1789,1325,10,1440,1446,1400,43,0
tSbXJkBw,1408320000000,1360,1796,1335,10,1426,1475,1396,46,0
tSbXJkBw,1408406400000,1371,1769,1362,10,1433,1484,1407,43,0
tSbXJkBw,1408492800000,1373,1749,1336,10,1417,1489,1399,44,0
tSbXJkBw,1408579200000,1396,1765,1354,10,1405,1461,1416,42,0
tSbXJkBw,1408665600000,1402,1777,1343,10,1432,1454,1416,44,0
tSbXJkBw,1408752000000,1412,1747,1318,10,1446,1466,1411,41,0
tSbXJkBw,1408838400000,1382,1767,1311,10,1473,1463,1396,42,0
tSbXJkBw,1408924800000,1371,1793,1293,10,1478,1471,1369,37,0
tSbXJkBw,1409011200000,1381,1782,1291,10,1480,1493,1393,32,0
tSbXJkBw,1409097600000,1358,1790,1281,10,1475,1502,1369,35,0
tSbXJkBw,1409184000000,1344,1817,1300,10,1475,1489,1376,36,0
tSbXJkBw,1409270400000,1338,1814,1314,10,1460,1496,1376,32,0
tSbXJkBw,1409356800000,1314,1792,1332,10,1481,1492,1392,30,0
tSbXJkBw,1409443200000,1312,1770,1338,10,1463,1477,1365,27,0
